Month,Temperature
2015 Dec,18.4
2016 Jan,20.9
2016 Feb,21.9
2016 Mar,20.1
2016 Apr,17.4
2016 May,16.3
2016 Jun,12.8
2016 Jul,11.7
2016 Aug,11.4
2016 Sep,13.8
2016 Oct,15.1
2016 Nov,16.5
2016 Dec,18
2017 Jan,19.3
2017 Feb,20.5
2017 Mar,19.7
2017 Apr,17.7
2017 May,13.8
2017 Jun,12.1
2017 Jul,11.2
2017 Aug,12.7
2017 Sep,13.8
2017 Oct,15.3
2017 Nov,17
2017 Dec,20.5
2018 Jan,22.5
2018 Feb,21.1
2018 Mar,19.9
2018 Apr,17.2
2018 May,14.8
2018 Jun,11.6
2018 Jul,11.3
2018 Aug,12.1
2018 Sep,13.1
2018 Oct,14.3
2018 Nov,16.4
2018 Dec,19.1
2019 Jan,21.1
2019 Feb,20.8
2019 Mar,20.1
2019 Apr,15.9
2019 May,15
2019 Jun,11.7
2019 Jul,12.1
2019 Aug,12.1
2019 Sep,13.3
2019 Oct,14.6
2019 Nov,17.4
2019 Dec,19.3
2020 Jan,19.9
2020 Feb,21.4
2020 Mar,19
2020 Apr,16.5
2020 May,14.1
2020 Jun,13.2
2020 Jul,11.7
2020 Aug,12.4
2020 Sep,13.3
2020 Oct,15.8
2020 Nov,17.6
2020 Dec,18.7
2021 Jan,20.4
2021 Feb,20.5
2021 Mar,19.4
2021 Apr,17.3
2021 May,14.4
2021 Jun,13.4
2021 Jul,11.6
2021 Aug,12.3
2021 Sep,13.3
2021 Oct,15.6
2021 Nov,18.2
2021 Dec,21
2022 Jan,21.6
2022 Feb,22.3
2022 Mar,20.3
2022 Apr,17.9
2022 May,15.2
2022 Jun,13.2
2022 Jul,13.1
2022 Aug,12.9
2022 Sep,13.6
2022 Oct,15.3
2022 Nov,17.7
2022 Dec,19.9
2023 Jan,20.4
2023 Feb,20.1
2023 Mar,18.2
2023 Apr,17.9
2023 May,15.7
2023 Jun,12.4
2023 Jul,12.2
2023 Aug,10.9
2023 Sep,14.2
2023 Oct,15.3
2023 Nov,16.7
2023 Dec,19.6
2024 Jan,21.6
